PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241031,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,N,20241115104625
20241101,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,N,20241118015923
20241104,763,390403,E-유통,39,제주,3911,제주,266,절임배추,3,가을,1,소매,4,상품,64900,20.0,kg,N,20241119111557
20241104,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,N,20241119111557
20241105,763,390403,E-유통,39,제주,3911,제주,266,절임배추,3,가을,1,소매,4,상품,64900,20.0,kg,N,20241120111630
20241105,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,N,20241120111630
20241106,763,390403,E-유통,39,제주,3911,제주,266,절임배추,3,가을,1,소매,4,상품,64900,20.0,kg,N,20241121111556
20241106,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,N,20241121111556
20241107,763,390403,E-유통,39,제주,3911,제주,266,절임배추,3,가을,1,소매,4,상품,49900,20.0,kg,Y,20241122111543
20241108,763,390403,E-유통,39,제주,3911,제주,266,절임배추,3,가을,1,소매,4,상품,49900,20.0,kg,Y,20241125020105
20241111,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,Y,20241126111557
20241112,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,Y,20241127111600
20241113,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,Y,20241128111608
20241114,763,390403,E-유통,39,제주,3911,제주,266,절임배추,4,월동,1,소매,4,상품,49900,20.0,kg,Y,20241129121603
