PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231208,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231211,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231212,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231213,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231214,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,11960,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231215,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231218,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240104065906
20231221,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240105065912
20231227,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240111065935
20231228,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240112065929
20231229,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240113065914
20240102,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240117065900
20240103,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240118065914
20240104,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240119065906
20240105,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240120065927
20240108,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240123065913
20240109,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240124065912
20240110,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240125065917
20240116,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240131065939
20240117,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240201065942
20240118,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240202065931
20240119,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,17960,15,kg,10.0,kg,10.0,개,N,20240203065943
20240129,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240213065937
20240130,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240214065934
20240131,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240215065950
20240201,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240216065942
20240202,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240217065957
20240205,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240220065942
20240206,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240221112510
20240207,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240222065940
20240208,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240223065943
20240213,752,340401,C-유통,34,충남,3411,천안,416,단감,0,단감,1,소매,4,상품,19960,15,kg,10.0,kg,10.0,개,N,20240228065936
