PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,25980,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231208,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231211,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231212,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231213,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231214,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231215,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231218,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,Y,20240104065906
20231221,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240105065912
20231222,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240106065856
20231226,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240110065931
20231227,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240111065935
20231228,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240112065929
20231229,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240113065914
20240102,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240117065900
20240103,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,23980,15,kg,10.0,kg,10.0,개,N,20240118065914
20240104,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,21980,15,kg,10.0,kg,10.0,개,N,20240119065906
20240105,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19980,15,kg,10.0,kg,10.0,개,N,20240120065927
20240119,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19580,15,kg,10.0,kg,10.0,개,Y,20240203065943
20240122,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19580,15,kg,10.0,kg,10.0,개,Y,20240206065935
20240123,391,321411,A-유통,32,강원,3214,강릉,416,단감,0,단감,1,소매,4,상품,19580,15,kg,10.0,kg,10.0,개,Y,20240207065925
