PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231205,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231206,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231207,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231208,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231211,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231212,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231213,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231214,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240102062408
20231215,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231218,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240102062408
20231219,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240103065948
20231220,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240104065906
20231221,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13560,15,kg,10.0,kg,10.0,개,Y,20240105065912
20231222,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240106065856
20231226,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240110065931
20231227,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240111065935
20231228,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240112065929
20231229,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240113065914
20240102,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240117065900
20240103,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240118065914
20240104,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240119065906
20240105,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240120065927
20240108,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240123065913
20240109,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240124065912
20240110,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240125065917
20240111,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,16960,15,kg,10.0,kg,10.0,개,N,20240126065910
20240115,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240130065928
20240116,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240131065939
20240117,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240201065942
20240118,108,372401,C-유통,37,경북,3714,안동,416,단감,0,단감,1,소매,4,상품,13960,15,kg,10.0,kg,10.0,개,Y,20240202065931
