PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,11000,8.0,kg,1.0,개,N,20240102062408
20231204,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231204,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,9500,8.0,kg,1.0,개,Y,20240102062408
20231205,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,11000,8.0,kg,1.0,개,N,20240102062408
20231205,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,Y,20240102062408
20231205,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231206,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,11000,8.0,kg,1.0,개,N,20240102062408
20231206,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,12900,8.0,kg,1.0,개,Y,20240102062408
20231206,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231207,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,11000,8.0,kg,1.0,개,N,20240102062408
20231207,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231207,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231208,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,11000,8.0,kg,1.0,개,N,20240102062408
20231208,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231208,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231211,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240102062408
20231211,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231211,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231212,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231212,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240102062408
20231212,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231213,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240102062408
20231213,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231213,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231214,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240102062408
20231214,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231214,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231215,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240102062408
20231215,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231215,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231218,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240102062408
20231218,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240102062408
20231218,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240102062408
20231219,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240103065948
20231219,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,Y,20240103065948
20231219,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240103065948
20231220,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,17980,8.0,kg,1.0,개,Y,20240104065906
20231220,770,310407,B-유통,31,경기,3112,성남,257,멜론,0,멜론,1,소매,4,상품,13900,8.0,kg,1.0,개,N,20240104065906
20231220,90,310402,B-유통,31,경기,3111,수원,257,멜론,0,멜론,1,소매,4,상품,14900,8.0,kg,1.0,개,N,20240104065906
20231221,750,310404,B-유통,31,경기,3138,고양,257,멜론,0,멜론,1,소매,4,상품,17980,8.0,kg,1.0,개,Y,20240105065912
